Neutral,Male,Female
Adventurous,Adventurous,Adventuress
Champion,Knight,Heroine
Creative,Innovator,Muse
Determined,Determined,Determined
Fearless,Gladiator,Amazon
Courteous person,Gentleman,Lady
Bold,Maverick,Dame
Charismatic,Leader,Diva
Confident,Alpha,Goddess
Daring,Daredevil,Wonder Woman
Energetic,Powerhouse,Dynamo
Gracious,King,Princess
Humble,Monk,Nun
Intelligent,Scholar,Wise Woman
Kind,Kind,Kind
Loyal,Protector,Guardian
Noble,Sir,Lady
Optimistic,Visionary,Dreamer
Powerful,Titan,Empress
Resilient,Viking,Survivor
Strong,Hercules,Valkyrie
Thoughtful,Sage,Oracle
Valiant,Crusader,Amazon Warrior
Wise,Philosopher,Sage
Zealous,Champion,Advocate
Ambitious,Kingpin,Queenpin
Analytical,Strategist,Analyst
Assertive,Commander,Queen Bee
Calm,Stoic,Peacekeeper
Compassionate,Healer,Nurturer
Courageous,Brave,Brave
Curious,Explorer,Seeker
Dedicated,Soldier,Valkyrie
Disciplined,General,High Priestess
Dynamic,Trailblazer,Revolutionary
Eloquent,Orator,Rhetorician
Fierce,Lionheart,Tigress
Forgiving,Priest,Matriarch
Honest,Man of Honor,Woman of Honor
Imaginative,Creator,Dreamweaver
Independent,Lone Wolf,She-Wolf
Inventive,Innovator,Creator
Just,Judge,Magistrate
Kindhearted,Generous,Kindhearted
Logical,Thinker,Analyst
Meticulous,Craftsman,Craftswoman
Modest,Gentleman,Modest Woman
Observant,Watchman,Watchwoman
Patient,Shepherd,Shepherdess
Perseverant,Spartan,Amazon Warrior
Persuasive,Debater,Influencer
Practical,Problem-solver,Planner
Quick-witted,Jester,Wit
Reliable,Backbone,Rock
Respectful,Gentleman,Lady
Sensible,Rationalist,Pragmatist
Sensitive,Protector,Empath
Sincere,Man of His Word,Woman of Her Word
Spontaneous,Wild Card,Free Spirit
Steadfast,Anchor,Pillar
Tenacious,Pit Bull,Lioness
Thorough,Perfectionist,Detail-oriented Woman
Unyielding,Mountain,Fortress
Versatile,Renaissance Man,Renaissance Woman
Warm,Hearthkeeper,Homemaker
Witty,Joker,Wit
Zealous,Crusader,Passionate Advocate
Adaptable,Chameleon,Shape-shifter
Altruistic,Samaritan,Benefactress
Articulate,Speaker,Storyteller
Balanced,Equalizer,Harmonizer
Benevolent,Patron,Matron
Cautious,Scout,Guardian
Charming,Prince Charming,Enchantress
Composed,Stoic,Graceful
Cooperative,Team Player,Collaborator
Courteous,Gentleman,Lady
Decisive,Commander,Matriarch
Diplomatic,Negotiator,Peacemaker
Efficient,Taskmaster,Taskmistress
Empathetic,Protector,Empath
Encouraging,Coach,Mentor
Enthusiastic,Fanatic,Cheerleader
Ethical,Man of Integrity,Woman of Principle
Experienced,Veteran,Veteran
Faithful,Man of Faith,Faithful Woman
Forthright,Straight-shooter,Honest Woman
Gentle,Gentleman,Gentlewoman
Hardworking,Workhorse,Hustler
Helpful,Samaritan,Aider
Humorous,Jester,Comedienne
Idealistic,Visionary,Dreamer
Impressive,Man of Action,Wonder Woman
Influential,Leader,Icon
Intrepid,Adventurer,Trailblazer
Joyful,Jolly Fellow,Happy Spirit
Justifiable,Arbiter,Mediator
Knowledgeable,Sage,Oracle
Laid-back,Chill Dude,Laid-back Lady
Likable,Charmer,Sweetheart
Logical,Analyst,Pragmatist
Lovable,Teddy Bear,Sweetheart
Magnetic,Charmer,Seductress
Nurturing,Provider,Caregiver
Open-minded,Free Thinker,Free Spirit
Outgoing,Social Butterfly,Socialite
Passionate,Hot-blooded,Firebrand
Patient,Stoic,Patient Saint
Peaceful,Peacemaker,Tranquil Soul
Perceptive,Sage,Oracle
Persistent,Bulldog,She-Wolf
Playful,Rascal,Minx
Practical,Pragmatist,Realist
Proactive,Go-getter,Self-starter
Protective,Shield,Guardian Angel
Rational,Thinker,Analyzer
Reliable,Stalwart,Loyalist
Resourceful,Problem-solver,Fixer
Respectable,Man of Honor,Woman of Honor
Risk-taking,Daredevil,Risk-taker
Self-assured,Man of Confidence,Confident Woman
Self-reliant,Independent Man,Independent Woman
Sensational,Star,Showstopper
Sincere,Gentleman,Genuine Woman
Social,Networker,Connector
Steady,Rock,Steady Hand
Strategic,Tactician,Planner
Supportive,Ally,Best Friend
Sympathetic,Protector,Nurturer
Talented,Prodigy,Virtuoso
Trustworthy,Man of Honor,Woman of Honor
Understanding,Counselor,Healer
Unstoppable,Juggernaut,Powerhouse
